task 0 has started...
task 1 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
   1  26918073.43805437  26918073.43807410  0.00001974
   2  26918073.43815053  26918073.43815277  0.00000225
   3  26918073.43817297  26918073.43817434  0.00000137
   4  26918073.43818452  26918073.43818591  0.00000139
   5  26918073.43819578  26918073.43819714  0.00000136
   6  26918073.43820690  26918073.43820827  0.00000136
   7  26918073.43821771  26918073.43821894  0.00000123
   8  26918073.43822842  26918073.43822974  0.00000132
   9  26918073.43823916  26918073.43824042  0.00000126
  10  26918073.43825761  26918073.43825901  0.00000139
  11  26918073.43826845  26918073.43826978  0.00000132
  12  26918073.43827910  26918073.43828048  0.00000138
  13  26918073.43828967  26918073.43829101  0.00000134
  14  26918073.43830838  26918073.43830974  0.00000136
  15  26918073.43831897  26918073.43834596  0.00002700
  16  26918073.43835823  26918073.43836454  0.00000631
  17  26918073.43837689  26918073.43837798  0.00000110
  18  26918073.43838836  26918073.43838938  0.00000101
  19  26918073.43839920  26918073.43840024  0.00000104
  20  26918073.43840980  26918073.43841075  0.00000095
  21  26918073.43842017  26918073.43842101  0.00000084
  22  26918073.43843024  26918073.43843133  0.00000109
  23  26918073.43844051  26918073.43844144  0.00000094
  24  26918073.43845051  26918073.43845125  0.00000074
  25  26918073.43846019  26918073.43846109  0.00000090
  26  26918073.43847011  26918073.43847366  0.00000355
  27  26918073.43848289  26918073.43848377  0.00000088
  28  26918073.43849376  26918073.43849471  0.00000095
  29  26918073.43850581  26918073.43850670  0.00000089
  30  26918073.43851775  26918073.43851870  0.00000095
  31  26918073.43852991  26918073.43853084  0.00000093
  32  26918073.43854050  26918073.43854137  0.00000087
  33  26918073.43855109  26918073.43855194  0.00000085
  34  26918073.43856185  26918073.43856274  0.00000089
  35  26918073.43857227  26918073.43857310  0.00000083
  36  26918073.43858241  26918073.43858323  0.00000082
  37  26918073.43859231  26918073.43859333  0.00000102
  38  26918073.43860254  26918073.43860341  0.00000087
  39  26918073.43861238  26918073.43861331  0.00000093
  40  26918073.43862235  26918073.43862322  0.00000086
  41  26918073.43863239  26918073.43863331  0.00000092
  42  26918073.43864520  26918073.43864617  0.00000098
  43  26918073.43865617  26918073.43865714  0.00000097
  44  26918073.43866660  26918073.43866752  0.00000092
  45  26918073.43867674  26918073.43867765  0.00000091
  46  26918073.43868667  26918073.43868754  0.00000088
  47  26918073.43869672  26918073.43869778  0.00000106
  48  26918073.43870933  26918073.43871026  0.00000094
  49  26918073.43872049  26918073.43872133  0.00000085
  50  26918073.43873097  26918073.43873197  0.00000100
  51  26918073.43874159  26918073.43874255  0.00000096
  52  26918073.43875172  26918073.43875273  0.00000101
  53  26918073.43876189  26918073.43876280  0.00000090
  54  26918073.43877449  26918073.43877550  0.00000101
  55  26918073.43878547  26918073.43878638  0.00000091
  56  26918073.43879642  26918073.43879731  0.00000090
  57  26918073.43880741  26918073.43880829  0.00000088
  58  26918073.43881828  26918073.43881929  0.00000101
  59  26918073.43882914  26918073.43883011  0.00000097
  60  26918073.43883910  26918073.43883994  0.00000084
  61  26918073.43884901  26918073.43885001  0.00000100
  62  26918073.43885895  26918073.43885987  0.00000092
  63  26918073.43886910  26918073.43887003  0.00000092
  64  26918073.43887904  26918073.43887985  0.00000081
  65  26918073.43888894  26918073.43888988  0.00000094
  66  26918073.43890174  26918073.43890271  0.00000097
  67  26918073.43891260  26918073.43891342  0.00000082
  68  26918073.43892316  26918073.43892398  0.00000082
  69  26918073.43893407  26918073.43893495  0.00000088
  70  26918073.43894443  26918073.43894533  0.00000091
  71  26918073.43895513  26918073.43895610  0.00000097
  72  26918073.43896535  26918073.43896617  0.00000083
  73  26918073.43897549  26918073.43897652  0.00000102
  74  26918073.43898563  26918073.43898650  0.00000086
  75  26918073.43899562  26918073.43899651  0.00000089
  76  26918073.43901073  26918073.43901171  0.00000098
  77  26918073.43902252  26918073.43902338  0.00000086
  78  26918073.43903374  26918073.43903468  0.00000094
  79  26918073.43904451  26918073.43904541  0.00000090
  80  26918073.43905530  26918073.43905625  0.00000095
  81  26918073.43906571  26918073.43906661  0.00000089
  82  26918073.43907667  26918073.43907771  0.00000103
  83  26918073.43908682  26918073.43908766  0.00000084
  84  26918073.43909683  26918073.43909773  0.00000090
  85  26918073.43911118  26918073.43911210  0.00000092
  86  26918073.43912222  26918073.43912315  0.00000093
  87  26918073.43913292  26918073.43913385  0.00000092
  88  26918073.43914288  26918073.43914378  0.00000089
  89  26918073.43915281  26918073.43915372  0.00000091
  90  26918073.43916275  26918073.43916371  0.00000096
  91  26918073.43917260  26918073.43917343  0.00000083
  92  26918073.43918525  26918073.43918622  0.00000097
  93  26918073.43919602  26918073.43919696  0.00000094
  94  26918073.43920607  26918073.43920700  0.00000093
  95  26918073.43921632  26918073.43921725  0.00000093
  96  26918073.43922715  26918073.43922799  0.00000084
  97  26918073.43923817  26918073.43923913  0.00000096
  98  26918073.43924928  26918073.43925023  0.00000096
  99  26918073.43926012  26918073.43926106  0.00000095
 100  26918073.43927040  26918073.43927133  0.00000094
 101  26918073.43928060  26918073.43928153  0.00000094
 102  26918073.43929064  26918073.43929156  0.00000092
 103  26918073.43930062  26918073.43930143  0.00000081
 104  26918073.43931340  26918073.43931443  0.00000103
 105  26918073.43932458  26918073.43932547  0.00000089
 106  26918073.43933524  26918073.43933620  0.00000096
 107  26918073.43934564  26918073.43934648  0.00000084
 108  26918073.43935563  26918073.43935657  0.00000093
